Time Img,No. Cell,Threshold Cell,No. Lys.,Area Lys.,Perimeter Lys.,Centroid Lys. X,Centroid Lys. Y,mCherry_Mean.,Venus_Mean
1,1,1751,1,1,0,224,496,1065,420
1,1,1751,2,1,0,227,480,1031,1386
1,1,1751,3,1,0,229,470,999,879
1,1,1751,4,2,2,230,478,1181,1101
1,1,1751,5,3,3,235,465,1475,1085
1,1,1751,6,1,0,234,471,1295,847
1,1,1751,7,1,0,236,487,1260,783
1,1,1751,8,1,0,239,448,1067,874
1,1,1751,9,8,10,241,451,1349,1115
1,1,1751,10,3,3,241,466,1304,1269
1,1,1751,11,10,12,246,446,1357,1084
1,1,1751,12,3,3,245,460,1776,1506
1,1,1751,13,21,26,252,437,1435,1149
1,1,1751,14,2,2,250,452,1226,1028
1,1,1751,15,1,0,252,444,1167,1003
1,1,1751,16,5,7,257,436,1304,1036
1,1,1751,17,2,2,256,443,1292,1191
1,1,1751,18,2,2,257,448,1735,1031
1,1,1751,19,3,3,263,496,1397,1114
1,1,1751,20,2,2,265,451,1584,1506
1,1,1751,21,1,0,270,432,1371,1065
1,1,1751,22,1,0,270,448,1765,1976
1,1,1751,23,2,2,272,440,1135,1131
1,1,1751,24,2,2,272,444,1391,1633
1,1,1751,25,1,0,272,430,1072,747
1,1,1751,26,3,3,275,440,1288,1490
1,1,1751,27,4,4,275,443,1345,1414
1,1,1751,28,9,12,276,448,1494,1190
1,1,1751,29,1,0,277,444,1095,961
1,1,1751,30,2,2,279,452,1607,787
1,1,1751,31,3,3,281,438,1383,1039
1,1,1751,32,1,0,286,425,1074,726
1,1,1751,33,2,2,292,432,1883,1953
1,1,1751,34,1,0,296,443,1588,1826
1,2,1435,1,3,3,276,510,1436,1539
1,2,1435,2,4,5,279,509,1282,967
1,2,1435,3,1,0,285,503,791,822
1,2,1435,4,3,3,286,497,1480,870
1,2,1435,5,5,5,292,501,1328,1049
1,2,1435,6,1,0,292,505,902,1165
1,2,1435,7,1,0,294,505,967,980
1,2,1435,8,4,5,302,500,1071,674
1,2,1435,9,2,2,303,503,1570,678
1,2,1435,10,4,5,307,501,1073,709
1,2,1435,11,3,3,310,507,888,434
1,2,1435,12,2,2,315,459,1590,1362
1,2,1435,13,2,2,325,491,912,859
2,1,1789,1,1,0,227,480,1296,1051
2,1,1789,2,4,4,235,466,1529,1050
2,1,1789,3,1,0,234,471,1356,948
2,1,1789,4,2,2,237,488,1347,1281
2,1,1789,5,6,7,242,451,1486,1082
2,1,1789,6,2,2,241,466,1317,1189
2,1,1789,7,1,0,243,443,1100,621
2,1,1789,8,9,11,246,446,1460,1169
2,1,1789,9,5,5,245,460,1513,1339
2,1,1789,10,13,15,251,438,1530,1292
2,1,1789,11,3,4,250,452,1229,1228
2,1,1789,12,1,0,252,444,1072,985
2,1,1789,13,3,3,254,433,1695,899
2,1,1789,14,2,2,254,436,1470,1163
2,1,1789,15,2,2,257,436,1313,1256
2,1,1789,16,3,5,257,448,1250,1060
2,1,1789,17,1,0,257,442,1465,1486
2,1,1789,18,1,0,259,435,1162,214
2,1,1789,19,4,4,263,496,1375,962
2,1,1789,20,3,3,265,451,1547,1009
2,1,1789,21,1,0,266,432,1122,788
2,1,1789,22,1,0,268,442,1151,521
2,1,1789,23,1,0,271,440,1155,757
2,1,1789,24,2,2,272,443,1408,777
2,1,1789,25,5,7,272,448,1360,1196
2,1,1789,26,1,0,272,430,1100,648
2,1,1789,27,3,3,274,440,1449,1514
2,1,1789,28,7,14,276,443,1404,1127
2,1,1789,29,7,9,276,449,1691,1260
2,1,1789,30,2,2,280,451,1609,1324
2,1,1789,31,2,3,282,438,1357,868
2,1,1789,32,1,0,284,454,1060,915
2,1,1789,33,1,0,287,424,1501,1227
2,1,1789,34,3,3,291,434,1667,1596
2,1,1789,35,2,2,296,443,1450,1063
2,2,1532,1,6,10,277,509,1209,1164
2,2,1532,2,1,0,285,503,1172,998
2,2,1532,3,4,4,287,498,1497,927
2,2,1532,4,9,15,293,502,1263,965
2,2,1532,5,2,2,302,500,1276,1137
2,2,1532,6,4,6,303,503,1416,617
2,2,1532,7,3,3,307,501,1388,1042
2,2,1532,8,1,0,307,469,848,544
2,2,1532,9,2,2,310,507,1147,505
2,2,1532,10,3,3,314,459,1259,1109
2,2,1532,11,1,0,324,491,1144,1554
3,1,1839,1,1,0,232,474,1270,858
3,1,1839,2,1,0,234,466,1367,1515
3,1,1839,3,1,0,234,471,1150,580
3,1,1839,4,3,3,236,488,1452,880
3,1,1839,5,1,0,238,447,1180,828
3,1,1839,6,20,24,243,449,1468,1032
3,1,1839,7,3,3,241,466,1221,1223
3,1,1839,8,5,5,245,460,1579,1648
3,1,1839,9,9,10,251,439,1619,1328
3,1,1839,10,3,3,250,451,1452,1003
3,1,1839,11,2,2,252,435,1579,973
3,1,1839,12,6,6,255,434,1533,1120
3,1,1839,13,2,2,256,443,1509,1417
3,1,1839,14,3,3,257,448,1249,1174
3,1,1839,15,2,2,263,496,1875,1517
3,1,1839,16,3,3,265,451,1338,1218
3,1,1839,17,3,6,271,431,1216,986
3,1,1839,18,2,2,271,444,1581,1600
3,1,1839,19,5,5,272,448,1577,1229
3,1,1839,20,5,5,273,440,1359,1341
3,1,1839,21,2,2,275,443,1817,1743
3,1,1839,22,4,4,276,449,1826,1546
3,1,1839,23,2,2,277,442,1281,748
3,1,1839,24,3,4,278,444,1406,1098
3,1,1839,25,1,0,278,448,1676,1159
3,1,1839,26,4,5,279,451,1471,802
3,1,1839,27,4,4,282,438,1498,995
3,1,1839,28,1,0,283,453,1228,1194
3,1,1839,29,1,0,286,454,1179,1063
3,1,1839,30,2,2,292,436,1759,1491
3,1,1839,31,1,0,296,443,1335,1434
3,2,1551,1,4,4,277,510,1469,1262
3,2,1551,2,1,0,279,508,1259,1144
3,2,1551,3,3,5,285,503,945,541
3,2,1551,4,1,0,284,506,854,466
3,2,1551,5,3,3,286,498,1459,1002
3,2,1551,6,4,8,293,503,945,690
3,2,1551,7,4,4,293,500,1582,1112
3,2,1551,8,3,3,302,499,1004,748
3,2,1551,9,2,2,303,503,1276,663
3,2,1551,10,3,3,307,502,1256,816
3,2,1551,11,3,5,309,507,1047,606
3,2,1551,12,3,3,314,459,1374,825
3,2,1551,13,1,0,324,491,1321,1690
3,2,1551,14,1,0,334,485,897,517
4,1,1849,1,1,0,217,499,1254,1560
4,1,1849,2,2,2,232,474,1148,686
4,1,1849,3,1,0,233,471,1221,485
4,1,1849,4,4,4,235,466,1505,894
4,1,1849,5,3,3,236,488,1673,1080
4,1,1849,6,1,0,238,447,1186,1000
4,1,1849,7,1,0,238,452,1219,974
4,1,1849,8,9,10,242,450,1478,1180
4,1,1849,9,2,3,241,466,1326,1222
4,1,1849,10,2,2,243,443,1210,517
4,1,1849,11,9,11,245,446,1622,1347
4,1,1849,12,5,5,245,460,1638,1545
4,1,1849,13,11,10,251,438,1587,1280
4,1,1849,14,1,0,250,451,1650,1697
4,1,1849,15,12,13,255,435,1524,1200
4,1,1849,16,2,2,256,443,1616,1598
4,1,1849,17,3,3,257,448,1342,971
4,1,1849,18,2,2,263,496,1872,1652
4,1,1849,19,4,5,265,451,1237,1146
4,1,1849,20,8,12,273,440,1447,1274
4,1,1849,21,2,2,271,444,1599,1503
4,1,1849,22,1,0,272,430,1130,1467
4,1,1849,23,1,0,273,448,1108,1084
4,1,1849,24,3,3,275,443,1906,1490
4,1,1849,25,4,4,276,449,1905,1889
4,1,1849,26,1,0,278,448,1759,1098
4,1,1849,27,2,2,279,450,1635,1014
4,1,1849,28,1,0,279,444,1552,815
4,1,1849,29,2,2,282,437,1676,990
4,1,1849,30,1,0,282,422,1364,1064
4,1,1849,31,1,0,288,424,1561,1343
4,1,1849,32,3,3,291,442,1498,1495
4,1,1849,33,1,0,296,443,2282,1657
4,2,1457,1,6,6,276,510,1335,1215
4,2,1457,2,1,0,280,507,1187,786
4,2,1457,3,3,4,285,503,963,687
4,2,1457,4,3,3,285,498,1484,957
4,2,1457,5,5,5,292,500,1360,1185
4,2,1457,6,1,0,293,503,766,761
4,2,1457,7,1,0,299,507,1052,471
4,2,1457,8,5,7,303,500,1173,636
4,2,1457,9,2,2,307,501,769,306
4,2,1457,10,1,0,307,469,788,239
4,2,1457,11,2,2,310,507,1095,641
4,2,1457,12,4,5,315,459,1182,1114
4,2,1457,13,2,2,324,491,865,849
5,1,1856,1,1,0,219,497,1191,914
5,1,1856,2,1,0,227,480,1437,1109
5,1,1856,3,2,2,235,466,1363,1232
5,1,1856,4,3,3,236,489,1542,1185
5,1,1856,5,2,2,239,452,1228,936
5,1,1856,6,18,23,244,448,1563,1083
5,1,1856,7,1,0,240,466,1696,1388
5,1,1856,8,5,5,245,460,1435,1484
5,1,1856,9,12,11,250,439,1598,1228
5,1,1856,10,1,0,250,451,1790,1348
5,1,1856,11,13,11,255,435,1582,1115
5,1,1856,12,2,2,256,443,1562,1526
5,1,1856,13,3,3,257,448,1480,1363
5,1,1856,14,1,0,259,449,1213,588
5,1,1856,15,1,0,262,496,2371,2082
5,1,1856,16,1,0,266,451,1742,1658
5,1,1856,17,1,0,266,492,1430,1188
5,1,1856,18,1,0,267,431,1161,423
5,1,1856,19,10,14,273,440,1530,1269
5,1,1856,20,1,0,271,444,2376,2330
5,1,1856,21,1,0,271,447,1267,845
5,1,1856,22,1,0,272,430,1282,977
5,1,1856,23,4,6,276,443,1599,1242
5,1,1856,24,4,4,276,449,2153,1744
5,1,1856,25,3,3,278,448,1198,746
5,1,1856,26,2,2,279,451,1355,977
5,1,1856,27,1,0,279,444,1411,1687
5,1,1856,28,1,0,281,422,1445,1512
5,1,1856,29,2,2,282,437,1976,999
5,1,1856,30,1,0,284,454,1146,814
5,1,1856,31,2,2,289,424,1405,1264
5,1,1856,32,2,2,290,445,1283,1085
5,1,1856,33,1,0,296,443,1704,1854
5,2,1593,1,5,5,276,510,1342,1132
5,2,1593,2,1,0,280,507,1066,773
5,2,1593,3,3,3,285,503,920,819
5,2,1593,4,3,3,285,498,1468,1097
5,2,1593,5,3,5,292,504,1093,722
5,2,1593,6,4,4,293,500,1437,1171
5,2,1593,7,5,8,302,500,1222,734
5,2,1593,8,1,0,306,501,1042,191
5,2,1593,9,2,2,310,507,1059,671
5,2,1593,10,5,5,315,459,1170,925
5,2,1593,11,2,2,324,491,1099,988
5,2,1593,12,1,0,334,484,910,407
6,1,1873,1,1,0,227,481,1363,1078
6,1,1873,2,2,2,234,466,1644,1441
6,1,1873,3,2,2,236,488,1427,1034
6,1,1873,4,1,0,238,446,1185,793
6,1,1873,5,4,6,240,451,1412,976
6,1,1873,6,2,2,240,466,1381,1226
6,1,1873,7,5,7,243,450,1676,1304
6,1,1873,8,1,0,244,443,1118,1193
6,1,1873,9,8,10,245,447,1729,1334
6,1,1873,10,5,5,245,460,1701,1395
6,1,1873,11,9,13,250,438,1686,1273
6,1,1873,12,1,0,250,451,1230,915
6,1,1873,13,13,14,255,435,1586,1138
6,1,1873,14,1,0,256,442,2253,2014
6,1,1873,15,1,0,257,440,1296,961
6,1,1873,16,2,3,258,449,1422,1405
6,1,1873,17,1,0,259,450,1148,757
6,1,1873,18,2,2,262,496,1656,1116
6,1,1873,19,1,0,265,445,1275,1074
6,1,1873,20,3,3,266,492,1366,1415
6,1,1873,21,2,2,267,451,1380,1253
6,1,1873,22,1,0,269,433,1163,875
6,1,1873,23,3,3,270,440,1924,1682
6,1,1873,24,1,0,271,431,1353,1356
6,1,1873,25,2,2,272,444,1661,1357
6,1,1873,26,1,0,271,448,1174,879
6,1,1873,27,9,16,275,441,1453,1305
6,1,1873,28,11,15,277,450,1508,1146
6,1,1873,29,3,3,280,444,1460,1121
6,1,1873,30,2,2,282,437,1607,1237
6,1,1873,31,3,3,287,425,1815,1078
6,1,1873,32,1,0,296,443,1708,2002
6,2,1441,1,2,3,277,508,780,559
6,2,1441,2,5,7,280,506,980,586
6,2,1441,3,2,2,285,503,1037,1069
6,2,1441,4,3,3,285,498,1455,1153
6,2,1441,5,3,4,292,504,982,905
6,2,1441,6,2,2,293,500,1526,1733
6,2,1441,7,1,0,297,507,748,516
6,2,1441,8,6,7,302,500,1163,907
6,2,1441,9,1,0,305,502,883,801
6,2,1441,10,2,2,310,507,988,647
6,2,1441,11,6,7,315,459,1173,930
6,2,1441,12,2,2,324,491,1123,955
7,1,1803,1,1,0,219,496,1413,1012
7,1,1803,2,3,3,234,465,1268,1370
7,1,1803,3,1,0,235,482,1166,843
7,1,1803,4,1,0,236,490,1589,1036
7,1,1803,5,1,0,238,448,1150,1044
7,1,1803,6,2,2,238,454,1374,828
7,1,1803,7,1,0,239,451,1670,1301
7,1,1803,8,2,2,240,466,1334,1133
7,1,1803,9,2,2,242,451,1594,1441
7,1,1803,10,2,2,244,443,1149,1243
7,1,1803,11,13,11,245,447,1522,1173
7,1,1803,12,3,3,245,461,2008,1481
7,1,1803,13,12,12,250,438,1555,984
7,1,1803,14,5,5,255,435,1926,1431
7,1,1803,15,2,2,255,442,1535,1433
7,1,1803,16,2,2,258,433,1232,788
7,1,1803,17,5,5,258,449,1347,1097
7,1,1803,18,1,0,258,440,1186,900
7,1,1803,19,1,0,261,497,2450,2133
7,1,1803,20,2,2,265,493,1243,980
7,1,1803,21,1,0,265,445,1525,1378
7,1,1803,22,3,3,267,450,1331,1002
7,1,1803,23,2,2,269,433,1250,1013
7,1,1803,24,5,5,270,440,1552,1178
7,1,1803,25,1,0,271,444,1941,1619
7,1,1803,26,2,2,272,448,1418,1149
7,1,1803,27,4,5,274,440,1617,1506
7,1,1803,28,3,3,275,443,1504,1537
7,1,1803,29,1,0,276,423,1557,1227
7,1,1803,30,10,10,278,450,1637,1200
7,1,1803,31,3,5,279,444,1372,1096
7,1,1803,32,3,4,282,437,1446,1153
7,1,1803,33,3,3,287,425,1504,1338
7,1,1803,34,1,0,294,447,1536,1623
7,1,1803,35,1,0,296,433,1091,959
7,2,1464,1,3,4,281,507,1562,881
7,2,1464,2,6,6,285,498,1272,718
7,2,1464,3,5,8,286,503,863,696
7,2,1464,4,1,0,291,504,1088,1019
7,2,1464,5,4,4,293,501,1429,1140
7,2,1464,6,1,0,297,504,751,581
7,2,1464,7,7,9,302,500,1013,686
7,2,1464,8,1,0,305,501,927,331
7,2,1464,9,1,0,306,469,861,570
7,2,1464,10,1,0,309,507,1473,561
7,2,1464,11,4,4,315,460,1134,1117
7,2,1464,12,2,2,324,491,977,881
8,1,1798,1,2,2,220,496,1339,1155
8,1,1798,2,1,0,234,465,1813,1428
8,1,1798,3,2,3,236,491,1213,860
8,1,1798,4,2,2,238,454,1207,1071
8,1,1798,5,1,0,238,448,1127,926
8,1,1798,6,9,12,241,451,1346,1039
8,1,1798,7,2,3,240,467,1562,1119
8,1,1798,8,9,14,244,446,1599,1174
8,1,1798,9,2,2,245,461,2013,1924
8,1,1798,10,1,0,248,457,1061,976
8,1,1798,11,12,12,250,438,1491,1108
8,1,1798,12,1,0,250,451,1346,779
8,1,1798,13,7,7,254,434,1583,1063
8,1,1798,14,4,6,257,440,1247,1153
8,1,1798,15,2,2,257,433,1440,686
8,1,1798,16,4,4,258,449,1272,1284
8,1,1798,17,1,0,262,496,2066,1655
8,1,1798,18,2,2,266,445,1301,1117
8,1,1798,19,1,0,267,430,1040,451
8,1,1798,20,1,0,267,450,1444,955
8,1,1798,21,2,2,268,434,1076,649
8,1,1798,22,12,17,272,440,1511,1373
8,1,1798,23,2,2,271,445,1534,1201
8,1,1798,24,2,2,272,449,2304,1596
8,1,1798,25,3,3,276,444,1135,1227
8,1,1798,26,8,13,278,450,1717,1257
8,1,1798,27,2,2,279,445,1404,1196
8,1,1798,28,2,2,281,438,1290,1065
8,1,1798,29,1,0,283,454,1187,1239
