Time Img,No. Cell,Threshold Cell,No. Lys.,Area Lys.,Perimeter Lys.,Centroid Lys. X,Centroid Lys. Y,mCherry_Mean.,Venus_Mean
1,1,1862,1,1,0,192,309,828,608
1,1,1862,2,1,0,194,307,738,467
1,1,1862,3,1,0,202,314,629,362
1,1,1862,4,1,0,207,295,892,176
1,1,1862,5,1,0,207,299,654,129
1,1,1862,6,1,0,207,308,1093,770
1,1,1862,7,1,0,207,310,807,1049
1,1,1862,8,1,0,208,281,1021,0
1,1,1862,9,1,0,208,283,979,148
1,1,1862,10,1,0,208,297,636,757
1,1,1862,11,1,0,208,320,731,435
1,1,1862,12,2,3,212,284,1049,763
1,1,1862,13,4,6,212,302,864,520
1,1,1862,14,2,2,212,293,719,395
1,1,1862,15,1,0,212,314,812,388
1,1,1862,16,1,0,214,271,816,769
1,1,1862,17,1,0,214,281,781,569
1,1,1862,18,2,2,216,265,873,623
1,1,1862,19,1,0,218,281,761,565
1,1,1862,20,1,0,218,300,647,509
1,1,1862,21,8,12,224,292,1050,540
1,1,1862,22,2,2,223,303,882,949
1,1,1862,23,1,0,223,266,644,434
1,1,1862,24,1,0,223,301,642,0
1,1,1862,25,1,0,224,298,632,436
1,1,1862,26,3,3,225,275,951,544
1,1,1862,27,6,7,227,308,1055,808
1,1,1862,28,1,0,226,268,652,375
1,1,1862,29,4,4,227,289,1057,794
1,1,1862,30,1,0,228,268,643,335
1,1,1862,31,1,0,228,278,751,593
1,1,1862,32,1,0,233,280,663,374
1,1,1862,33,1,0,233,286,709,405
1,1,1862,34,1,0,234,295,642,169
1,1,1862,35,1,0,235,289,713,103
1,1,1862,36,1,0,240,289,630,565
1,1,1862,37,1,0,241,293,1276,1326
1,1,1862,38,1,0,242,288,660,525
1,1,1862,39,1,0,243,286,1089,759
1,1,1862,40,1,0,249,328,630,90
1,2,2461,1,1,0,253,348,1965,1131
1,2,2461,2,2,2,258,365,1572,758
1,2,2461,3,1,0,262,373,1724,835
1,2,2461,4,6,12,269,369,1499,820
1,2,2461,5,5,9,270,372,1473,964
1,2,2461,6,1,0,270,351,1915,989
1,2,2461,7,1,0,272,340,1160,788
1,2,2461,8,2,2,275,370,1580,575
1,2,2461,9,1,0,278,370,1345,480
1,2,2461,10,1,0,279,372,1227,732
1,2,2461,11,2,2,281,342,1143,740
1,2,2461,12,2,2,281,365,1764,1273
1,2,2461,13,1,0,282,354,1496,1056
1,2,2461,14,2,2,289,344,1487,1396
1,3,1758,1,1,0,248,163,949,390
1,3,1758,2,1,0,268,181,1235,580
1,3,1758,3,4,5,274,177,1088,580
1,3,1758,4,1,0,274,162,1175,648
1,3,1758,5,2,2,274,187,1039,538
1,3,1758,6,3,5,275,191,1050,646
1,3,1758,7,3,3,277,178,1046,306
1,3,1758,8,6,7,280,187,1200,461
1,3,1758,9,1,0,281,191,1028,308
1,3,1758,10,1,0,283,167,948,262
1,3,1758,11,2,2,284,182,1404,510
1,3,1758,12,1,0,286,176,1470,563
1,4,1492,1,1,0,256,285,635,143
1,4,1492,2,1,0,257,288,998,580
1,4,1492,3,2,3,263,288,569,249
1,4,1492,4,1,0,263,292,608,416
1,4,1492,5,2,2,265,299,671,333
1,4,1492,6,1,0,267,286,876,226
1,4,1492,7,1,0,275,302,589,352
1,4,1492,8,1,0,276,281,638,365
1,4,1492,9,2,2,276,296,641,273
1,4,1492,10,2,3,285,293,626,303
1,4,1492,11,2,2,288,293,722,402
1,4,1492,12,1,0,294,298,630,93
1,4,1492,13,4,5,301,301,697,367
1,4,1492,14,1,0,304,303,709,60
1,4,1492,15,1,0,306,333,656,254
1,4,1492,16,1,0,308,305,1014,0
1,4,1492,17,1,0,309,300,666,348
1,4,1492,18,1,0,319,335,550,289
1,4,1492,19,1,0,321,333,678,130
1,5,1341,1,2,2,294,168,896,338
1,5,1341,2,1,0,296,167,703,631
1,5,1341,3,1,0,297,154,539,174
1,5,1341,4,2,2,297,176,653,617
1,5,1341,5,2,2,298,181,614,214
1,5,1341,6,2,2,297,185,632,437
1,5,1341,7,1,0,299,171,546,189
1,5,1341,8,1,0,300,193,572,558
1,5,1341,9,1,0,304,163,609,407
1,5,1341,10,1,0,307,153,566,425
1,5,1341,11,1,0,309,153,612,437
1,5,1341,12,1,0,312,157,919,555
1,5,1341,13,1,0,312,164,652,433
1,5,1341,14,2,2,315,164,919,753
1,5,1341,15,2,2,318,169,750,738
1,6,1479,1,1,0,333,343,609,341
1,6,1479,2,1,0,333,345,619,39
1,6,1479,3,1,0,336,345,1245,741
1,6,1479,4,1,0,336,354,761,303
1,6,1479,5,1,0,338,341,617,342
1,6,1479,6,1,0,340,345,693,166
1,6,1479,7,1,0,340,352,644,0
1,6,1479,8,2,2,345,356,579,552
1,6,1479,9,2,2,347,351,580,184
1,6,1479,10,1,0,347,353,753,374
1,6,1479,11,1,0,350,316,574,352
1,6,1479,12,3,3,353,313,787,120
1,6,1479,13,2,3,355,312,595,590
1,6,1479,14,1,0,354,336,596,230
1,6,1479,15,2,2,357,310,835,204
1,6,1479,16,2,2,358,314,578,235
1,6,1479,17,1,0,361,304,774,125
1,6,1479,18,1,0,364,303,713,646
1,6,1479,19,1,0,370,347,825,393
1,6,1479,20,1,0,381,302,590,175
2,1,1852,1,1,0,194,313,726,570
2,1,1852,2,1,0,203,313,626,372
2,1,1852,3,2,2,207,308,1305,454
2,1,1852,4,1,0,207,310,1135,718
2,1,1852,5,2,2,211,290,694,261
2,1,1852,6,2,2,210,300,935,739
2,1,1852,7,3,5,212,283,823,719
2,1,1852,8,2,2,212,294,862,660
2,1,1852,9,2,2,212,303,807,369
2,1,1852,10,1,0,214,266,622,32
2,1,1852,11,2,3,215,271,1161,650
2,1,1852,12,4,4,217,263,848,558
2,1,1852,13,1,0,217,288,745,562
2,1,1852,14,1,0,219,262,708,198
2,1,1852,15,2,2,220,313,653,309
2,1,1852,16,2,2,221,288,744,430
2,1,1852,17,6,10,224,293,942,519
2,1,1852,18,1,0,222,303,900,928
2,1,1852,19,1,0,223,290,806,741
2,1,1852,20,1,0,224,297,748,274
2,1,1852,21,3,3,225,275,981,733
2,1,1852,22,1,0,225,281,677,193
2,1,1852,23,1,0,225,301,803,437
2,1,1852,24,4,5,226,308,1361,966
2,1,1852,25,4,4,227,289,1071,700
2,1,1852,26,1,0,228,279,815,788
2,1,1852,27,1,0,228,283,659,228
2,1,1852,28,1,0,229,336,652,110
2,1,1852,29,1,0,232,293,673,109
2,1,1852,30,1,0,236,281,1097,430
2,1,1852,31,2,2,242,293,1245,803
2,1,1852,32,1,0,244,286,627,771
2,1,1852,33,1,0,244,293,649,306
2,1,1852,34,1,0,248,327,679,254
2,1,1852,35,1,0,253,330,633,144
2,1,1852,36,1,0,256,307,656,510
2,2,2464,1,1,0,236,366,1327,556
2,2,2464,2,2,2,254,347,1960,928
2,2,2464,3,1,0,258,364,1311,1051
2,2,2464,4,2,3,263,374,1416,836
2,2,2464,5,1,0,265,365,1240,475
2,2,2464,6,3,4,268,369,1369,822
2,2,2464,7,1,0,269,340,1669,952
2,2,2464,8,5,7,270,373,1880,991
2,2,2464,9,1,0,270,351,1427,949
2,2,2464,10,1,0,272,339,1165,1020
2,2,2464,11,1,0,278,355,1155,268
2,2,2464,12,1,0,278,370,1766,797
2,2,2464,13,1,0,279,342,1167,334
2,2,2464,14,1,0,279,373,1131,575
2,2,2464,15,2,2,281,365,1333,1315
2,2,2464,16,1,0,282,354,1380,1028
2,2,2464,17,2,2,288,344,1440,937
2,2,2464,18,1,0,291,349,1173,377
2,3,1763,1,2,3,268,181,1054,609
