Time Img,No. Cell,Threshold Cell,No. Lys.,Area Lys.,Perimeter Lys.,Centroid Lys. X,Centroid Lys. Y,mCherry_Mean.,Venus_Mean
1,1,2371,1,1,0,207,458,992,225
1,1,2371,2,1,0,210,456,784,464
1,1,2371,3,2,2,210,459,873,653
1,1,2371,4,1,0,216,475,829,421
1,1,2371,5,1,0,221,455,841,967
1,1,2371,6,3,5,224,463,972,0
1,1,2371,7,1,0,224,447,828,632
1,1,2371,8,1,0,226,469,1002,772
1,1,2371,9,1,0,228,443,981,559
1,1,2371,10,1,0,228,459,834,447
1,1,2371,11,1,0,229,462,933,501
1,1,2371,12,2,2,231,471,1224,571
1,1,2371,13,1,0,231,462,879,492
1,1,2371,14,1,0,232,473,975,319
1,1,2371,15,1,0,232,486,836,13
1,1,2371,16,1,0,236,456,788,468
1,1,2371,17,1,0,237,458,810,785
1,1,2371,18,2,3,240,445,859,214
1,1,2371,19,1,0,241,447,905,142
1,1,2371,20,1,0,241,463,814,549
1,1,2371,21,1,0,241,475,977,179
1,1,2371,22,3,5,241,481,1301,382
1,1,2371,23,1,0,241,489,886,614
1,1,2371,24,1,0,242,460,977,675
1,1,2371,25,1,0,243,439,869,339
1,1,2371,26,1,0,243,463,1251,507
1,1,2371,27,1,0,243,470,817,428
1,1,2371,28,1,0,245,461,821,406
1,1,2371,29,1,0,251,436,1194,686
1,1,2371,30,1,0,252,434,845,94
1,1,2371,31,1,0,254,438,830,739
1,1,2371,32,1,0,256,457,784,189
1,1,2371,33,1,0,256,483,1148,507
1,1,2371,34,2,2,258,445,1040,461
1,1,2371,35,2,2,258,456,875,715
1,1,2371,36,1,0,258,485,1077,114
1,1,2371,37,1,0,261,442,883,286
1,1,2371,38,1,0,261,455,916,345
1,1,2371,39,8,7,263,453,950,439
1,1,2371,40,1,0,264,456,1130,0
1,1,2371,41,1,0,264,460,865,315
1,1,2371,42,2,2,265,475,848,159
1,1,2371,43,2,2,265,463,908,709
1,1,2371,44,1,0,265,469,868,579
1,1,2371,45,2,2,265,472,854,303
1,1,2371,46,1,0,267,472,945,503
1,1,2371,47,1,0,267,485,874,589
1,1,2371,48,9,14,270,460,1363,762
1,1,2371,49,1,0,268,463,806,808
1,1,2371,50,1,0,268,466,881,556
1,1,2371,51,1,0,268,492,794,205
1,1,2371,52,1,0,271,452,916,701
1,1,2371,53,4,6,273,464,971,446
1,1,2371,54,2,3,274,481,893,465
1,1,2371,55,1,0,274,454,996,527
1,1,2371,56,1,0,277,454,909,0
1,1,2371,57,1,0,281,465,905,717
1,1,2371,58,1,0,282,476,926,791
1,1,2371,59,1,0,285,474,787,175
1,2,2885,1,1,0,234,100,1135,1050
1,2,2885,2,2,3,237,98,1243,567
1,2,2885,3,1,0,238,88,1165,1123
1,2,2885,4,1,0,239,96,949,266
1,2,2885,5,1,0,240,80,1025,542
1,2,2885,6,2,2,241,101,1166,941
1,2,2885,7,2,3,241,105,1096,1075
1,2,2885,8,1,0,242,86,1133,1163
1,2,2885,9,1,0,242,89,1054,525
1,2,2885,10,2,2,245,68,1143,315
1,2,2885,11,2,2,245,98,1075,809
1,2,2885,12,1,0,245,60,1146,285
1,2,2885,13,1,0,246,71,1108,371
1,2,2885,14,5,6,247,101,1082,795
1,2,2885,15,1,0,247,60,952,511
1,2,2885,16,1,0,247,68,997,430
1,2,2885,17,1,0,247,89,1195,768
1,2,2885,18,1,0,247,109,1055,377
1,2,2885,19,2,2,251,63,1344,0
1,2,2885,20,1,0,251,100,1678,556
1,2,2885,21,2,2,251,106,1013,1070
1,2,2885,22,1,0,252,60,1297,1288
1,2,2885,23,1,0,252,103,960,980
1,2,2885,24,1,0,253,58,1203,322
1,2,2885,25,2,3,255,74,979,317
1,2,2885,26,1,0,255,66,1192,544
1,2,2885,27,1,0,255,99,1371,594
1,2,2885,28,1,0,255,105,1064,787
1,2,2885,29,1,0,257,104,1294,493
1,2,2885,30,1,0,258,89,1041,639
1,2,2885,31,1,0,260,103,1132,219
1,2,2885,32,1,0,262,60,1024,589
