Time Img,No. Cell,Threshold Cell,No. Lys.,Area Lys.,Perimeter Lys.,Centroid Lys. X,Centroid Lys. Y,mCherry_Mean.,Venus_Mean
1,1,1390,1,1,0,190,166,605,193
1,1,1390,2,1,0,190,211,620,0
1,1,1390,3,3,3,192,170,667,201
1,1,1390,4,1,0,195,155,571,0
1,1,1390,5,1,0,196,152,601,494
1,1,1390,6,1,0,196,162,695,363
1,1,1390,7,1,0,196,168,616,45
1,1,1390,8,2,2,198,171,672,202
1,1,1390,9,2,2,199,153,625,161
1,1,1390,10,1,0,198,166,674,320
1,1,1390,11,1,0,198,168,837,29
1,1,1390,12,1,0,199,164,594,14
1,1,1390,13,1,0,199,199,565,657
1,1,1390,14,1,0,201,167,655,462
1,1,1390,15,1,0,203,151,705,167
1,1,1390,16,1,0,203,161,877,475
1,1,1390,17,1,0,203,167,585,157
1,1,1390,18,2,3,205,158,754,0
1,1,1390,19,2,2,205,165,887,391
1,1,1390,20,13,16,207,160,747,188
1,1,1390,21,1,0,205,167,641,274
1,1,1390,22,1,0,206,155,754,317
1,1,1390,23,1,0,206,210,560,121
1,1,1390,24,2,2,208,149,1099,106
1,1,1390,25,2,2,208,164,798,85
1,1,1390,26,1,0,207,168,594,0
1,1,1390,27,9,17,210,170,728,231
1,1,1390,28,5,7,209,155,946,293
1,1,1390,29,5,9,213,158,643,172
1,1,1390,30,4,5,213,165,867,273
1,1,1390,31,4,6,215,161,1022,331
1,1,1390,32,2,2,216,140,570,212
1,1,1390,33,1,0,215,151,555,0
1,1,1390,34,3,6,216,158,751,342
1,1,1390,35,1,0,215,204,628,148
1,1,1390,36,2,2,218,147,707,180
1,1,1390,37,2,2,218,167,782,251
1,1,1390,38,3,4,220,163,749,171
1,1,1390,39,1,0,219,172,602,426
1,1,1390,40,1,0,220,144,648,158
1,1,1390,41,1,0,221,156,647,503
1,1,1390,42,1,0,221,166,994,0
1,1,1390,43,1,0,224,127,602,155
1,1,1390,44,1,0,230,193,581,132
1,1,1390,45,1,0,234,166,641,299
1,1,1390,46,1,0,236,153,936,151
1,2,1295,1,1,0,258,152,533,282
1,2,1295,2,1,0,260,180,523,225
1,2,1295,3,1,0,268,130,629,158
1,2,1295,4,1,0,272,157,779,402
1,2,1295,5,1,0,276,181,529,330
1,2,1295,6,1,0,277,163,734,425
1,2,1295,7,1,0,278,155,887,47
1,2,1295,8,1,0,278,190,585,163
1,2,1295,9,2,2,280,169,887,121
1,2,1295,10,1,0,279,175,535,88
1,2,1295,11,1,0,280,140,603,183
1,2,1295,12,1,0,281,154,619,311
1,2,1295,13,1,0,281,164,534,0
1,2,1295,14,1,0,282,148,780,0
1,2,1295,15,2,2,284,150,601,274
1,2,1295,16,2,2,284,161,535,315
1,2,1295,17,5,5,287,159,665,430
1,2,1295,18,1,0,286,162,510,52
1,2,1295,19,2,2,287,178,655,139
1,2,1295,20,1,0,287,171,558,0
1,2,1295,21,3,6,289,155,752,44
1,2,1295,22,1,0,288,169,609,370
1,2,1295,23,1,0,288,183,538,641
1,2,1295,24,1,0,289,158,617,535
1,2,1295,25,1,0,289,171,778,321
1,2,1295,26,1,0,290,150,523,378
1,2,1295,27,1,0,290,173,511,544
1,2,1295,28,1,0,290,186,688,445
1,2,1295,29,2,2,291,154,518,282
1,2,1295,30,1,0,291,156,691,218
1,2,1295,31,1,0,291,165,648,171
1,2,1295,32,1,0,291,168,692,601
1,2,1295,33,1,0,291,184,528,587
1,2,1295,34,1,0,293,168,558,418
1,2,1295,35,1,0,294,162,794,544
1,2,1295,36,1,0,295,168,526,386
1,2,1295,37,1,0,295,171,541,238
1,2,1295,38,1,0,295,190,564,172
1,2,1295,39,1,0,296,156,604,158
1,2,1295,40,1,0,299,159,567,371
1,3,1261,1,2,3,325,184,569,203
1,3,1261,2,1,0,326,187,533,673
1,3,1261,3,1,0,327,185,541,486
1,3,1261,4,2,3,328,203,550,272
1,3,1261,5,2,2,331,167,511,488
1,3,1261,6,1,0,332,139,596,324
1,3,1261,7,1,0,332,174,507,732
1,3,1261,8,1,0,332,178,622,376
1,3,1261,9,2,2,333,185,504,585
1,3,1261,10,2,2,334,174,591,11
1,3,1261,11,1,0,335,202,558,280
1,3,1261,12,1,0,338,176,715,0
1,3,1261,13,1,0,338,212,619,45
1,3,1261,14,1,0,342,172,584,0
1,3,1261,15,5,7,344,177,786,129
1,3,1261,16,1,0,344,188,760,0
1,3,1261,17,1,0,346,151,565,0
1,3,1261,18,1,0,346,175,533,344
1,3,1261,19,1,0,346,186,514,119
1,3,1261,20,2,2,348,173,864,564
1,3,1261,21,1,0,348,176,522,194
1,3,1261,22,4,4,349,181,663,55
1,3,1261,23,1,0,348,192,514,0
1,3,1261,24,2,2,351,174,608,0
1,3,1261,25,1,0,350,201,575,105
1,3,1261,26,3,5,353,175,630,172
1,3,1261,27,2,2,355,184,841,0
1,3,1261,28,1,0,355,174,503,160
1,3,1261,29,1,0,358,173,628,0
1,3,1261,30,1,0,358,197,523,415
1,3,1261,31,1,0,359,144,543,42
1,3,1261,32,2,2,361,173,642,0
1,3,1261,33,1,0,360,196,495,295
1,3,1261,34,1,0,361,183,561,369
1,3,1261,35,1,0,362,139,500,233
1,3,1261,36,1,0,362,147,507,99
1,3,1261,37,1,0,364,130,510,126
1,3,1261,38,1,0,365,174,499,20
1,4,1451,1,1,0,361,224,724,0
1,4,1451,2,2,3,363,216,834,143
1,4,1451,3,1,0,362,222,635,93
